year,ref,RCA4_AFR-44_NCC-NorESM1-M_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp45,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp45,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp45,RCA4_AFR-44_CCCma-CanESM2_rcp45,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp45,RCA4_AFR-44_MIROC-MIROC5_rcp45,RCA4_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp45,CSC_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp45,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp45,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp45,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp45,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp45,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp45,RCA4_AFR-44_NOAA-GFDL-GFDL-ESM2M_rcp85,RCA4_AFR-44_MIROC-MIROC5_rcp85,RCA4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_NCC-NorESM1-M_rcp85,RCA4_AFR-44_MOHC-HadGEM2-ES_rcp85,RCA4_AFR-44_IPSL-IPSL-CM5A-MR_rcp85,RCA4_AFR-44_ICHEC-EC-EARTH_rcp85,RCA4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,RACMO22T_AFR-44_MOHC-HadGEM2-ES_rcp85,CSC_AFR-44_MPI-M-MPI-ESM-LR_rcp85,RCA4_AFR-44_CSIRO-QCCCE-CSIRO-Mk3-6-0_rcp85,RCA4_AFR-44_CCCma-CanESM2_rcp85,CSC_AFR-44_ICHEC-EC-EARTH_rcp85,RACMO22T_AFR-44_ICHEC-EC-EARTH_rcp85,REMO2009_AFR-44_MOHC-HadGEM2-ES_rcp85,CCLM4_AFR-44_MPI-M-MPI-ESM-LR_rcp85,REMO2009_AFR-44_IPSL-IPSL-CM5A-LR_rcp85,CCLM4_AFR-44_ICHEC-EC-EARTH_rcp85,CCLM4_AFR-44_MOHC-HadGEM2-ES_rcp85,REMO2009_AFR-44_MIROC-MIROC5_rcp85,CCLM4_AFR-44_CNRM-CERFACS-CNRM-CM5_rcp85,HIRHAM5_AFR-44_ICHEC-EC-EARTH_rcp85
1991,811.9029478132725,553.309568952179,712.1582367786383,703.0436960610621,693.3952225200343,576.257116346992,598.3748227881209,804.736235029251,670.9293619515281,727.3802713419883,648.2315895505805,706.495401332498,736.1379599875037,537.6370694402506,848.680242430667,707.4053627714807,686.145275708604,624.3443803576604,723.8577057380967,879.7924978818094,719.7980627166853,665.7205205655368,694.2678571347429,536.0493972783132,684.2657278329965,566.6021597601344,728.926132992618,647.3274834295657,662.6954405741008,704.775278645199,807.391995282755,594.7831728953413,739.8861782668699,846.8769678907422,722.3341081451279,531.4618490380346,668.1299198870099,684.8493875991675,628.9636971605521,852.6105843979617,726.7937097547288,868.4824917682795
1992,755.6527673378587,643.3126545798914,709.2168163544536,664.619413968377,732.8203243262728,656.9476691616728,629.5346031206591,748.5409640809273,774.1056191846878,716.6945823384411,592.6389128614131,758.6464755781119,785.4639232086934,636.934624363269,782.1268057249333,530.5665310176229,895.180870917912,515.9907779607302,464.5968283126324,981.2270865145699,716.8625681134254,773.8174547410297,657.347214715593,630.4792077910427,724.59580509472,650.9202595585953,703.9490210647778,600.7226119281212,870.7660904797906,760.8225826189023,736.905822579716,626.9946479580659,783.5535457025734,788.340826559187,965.6779582021796,633.1775002072815,615.0212082049406,510.4677280338266,513.6559590929344,864.1609273033769,468.7955354106367,953.1918616536285
1993,803.2358958944678,643.3235154157128,699.0708737983264,622.892024632504,692.1222637834383,599.8741083223797,636.6087639354321,725.3386173459733,750.8420692070595,635.6618793754094,632.5279941607138,675.3857786838043,812.580088941849,586.9072804396554,776.1908911460664,603.2634322116877,633.2738135916183,436.21288838363535,571.9914702054839,882.1738446657498,703.5602017578631,746.645379549406,612.7340470938344,629.5564190766821,671.4650520977947,589.4382664415461,645.2020030858315,636.9975284083104,612.6452343489007,682.1006902795438,720.7915141490203,632.9889853862704,820.1249439185362,778.4825099515333,930.5635505957426,584.8086059236341,634.3660047092665,583.733803254323,434.1298872308099,941.9709682010968,585.2116310745657,865.8535598811739
1994,844.9705382958055,544.6057780289807,686.3098622215949,628.6544495182911,704.1705333435241,601.8789798635017,646.6560076419671,781.7543602932789,666.2897527861115,595.3672367505367,670.0264780062523,709.1129934017993,757.6278061154693,623.1573911852461,669.8595061210574,635.6713283889704,591.1284039410097,509.54822062234683,525.7136653834422,915.6525727943575,690.7728383074642,658.4953553322338,622.6044299625809,534.8794736943745,693.6098593332084,596.3421864343658,600.0273842279205,674.329461600664,581.6896851177455,710.2006345149791,784.6407984500862,645.748680998691,755.4171681684136,680.4954043375812,731.826429919131,614.3231614412631,623.1835666114513,612.8666421560299,506.4984585694989,950.7014675935199,536.9691592379706,901.9222364703434
1995,863.7640586718917,561.1091373158487,724.7272164710446,701.3448447363237,769.2291626786059,684.3680614099477,679.8370629230822,696.048225624621,626.4985826152104,604.0972040622137,698.8857022985458,836.3806358687748,794.7112936472092,651.4865082000318,723.2944181072443,532.8815506483006,768.34144711784,573.3524723421829,584.7203870103594,897.0667056958933,732.5019906345066,618.4198069764047,685.875697366335,554.7036074035589,752.9062933226137,679.6989701680887,609.9198367679525,699.7091048876571,746.3871356467608,834.8061204262824,693.9089568888994,671.0487168231423,798.7909941169838,730.5030518555526,740.5558469979966,645.4996422696488,793.7681327605425,512.1487626268245,572.1180567155607,767.2278012892434,595.9506697414583,884.8955023233242
1996,861.9646541625261,658.9298972567839,733.207948498516,732.1124971112636,664.0623775883915,555.5827463573023,598.5897798437998,651.3584938758376,703.785163100833,668.9017945365979,606.2594287071807,847.694169725612,696.1122037459804,692.8464298898912,827.6636433487814,556.1598920021956,706.7648990417412,262.2023715761403,617.8125060012112,940.8910897583454,734.8276945776279,699.6773896163043,726.5625891627399,640.123314084577,654.7162794415437,545.9677031812362,671.3025635755727,616.1905950600205,666.2136612316509,846.6099921563482,650.061050326525,596.7938844212148,698.3422947366373,826.8370072965663,602.7252916041061,690.8728485525285,926.9185391520411,532.3272346373757,261.94967150445353,782.887300129937,628.1332112000523,928.4098012751474
1997,846.4156582206488,560.4843317309762,711.832665601232,755.9933573461635,699.9288577787372,623.3712342795219,678.1583859376174,684.4818744648102,747.4440267733343,704.9116061753581,680.9595406776583,864.4083003586044,711.7390800522408,641.2369550768954,756.3109492223575,657.695363735847,808.4895015439615,592.7124344902519,660.2437678403596,807.4567895082523,716.7108163219699,750.1968475553222,749.4430041876888,543.1710749523907,682.7422892851014,617.8808245306624,708.8072120521614,684.8415684890799,782.6706351516316,863.160171527361,685.3733038611172,671.5680273970758,716.6240562667687,758.645596657607,743.6630861086148,634.2936941481986,689.7618752057488,630.1492673709547,587.7340738474396,767.42529178517,674.9500916058025,799.966038158022
1998,682.8422770574689,614.527854525162,609.5089985205266,616.2984432564937,720.5360620699789,591.3842190500336,580.5436512721711,730.6985001707834,724.3296409936997,578.6530345555778,631.074837666366,776.3569629245145,765.5406768499477,377.8764239484073,627.5363845987497,553.6814404728993,872.1281161953777,484.89631902718577,643.562462809384,808.7414551122381,622.3485530627214,719.8081061282785,614.0067561502058,598.5606255951923,704.0827801541737,580.298909349262,578.2770621268113,636.168341903681,825.3399510581905,776.235833967346,729.9011647955606,574.0298471669047,769.848426968465,631.1306224048815,834.9610039470984,371.86455892878405,736.6691414668234,533.9776861737932,483.7609418679992,774.3272148229701,653.4428196249128,799.8351103993699
1999,776.2921771220863,677.4753890999523,667.1528027813904,739.1342779104565,737.9170599775271,681.2507082475136,683.4554881892045,756.5017276994353,696.0967895439869,644.1480876240898,691.2865023184838,826.2132671592334,758.6803958189171,612.5153986124625,715.2751570316155,452.0794401675224,970.9575789193676,490.25717495167873,580.5011372793194,829.1565126986137,673.9206239588445,695.0129968964284,726.1566123936684,661.9942527241913,730.3810238477544,673.4232560607597,642.2993850700168,694.7312529429257,937.366711044025,828.4878943112492,759.9863352734815,683.6727614290803,765.3942333891407,723.5188486879621,925.0724076065119,605.0394894678723,805.7020217069895,436.69207371169387,487.0552399222045,749.5666953206585,588.4025397229494,819.7577864090158
2000,820.9486848041415,508.14372872503213,703.047632168704,700.827884807352,649.2165259351983,554.8875967376318,678.9920624260056,719.2315223644274,708.1430334416665,712.5446814766124,683.1410066605836,781.7799768413763,613.1814042596739,693.846139211628,817.435149795218,706.8948237259063,673.8772994104763,356.4638594914132,568.9982950450981,807.1872411396232,708.4702283653944,697.6521777668232,691.0324697044032,501.4970718566184,636.2838327288113,548.99675752289,717.3614425542671,686.8304719205332,642.338235226558,781.9850068199767,721.1185188064454,681.3706398756589,619.0672368311151,818.1279497748686,798.226629305204,688.5209934533584,885.9900864280363,683.5297299484885,353.69512716443944,706.3857341331166,579.8156492656145,798.7021234118647
2001,752.2096121907234,593.6732941411179,725.748799111587,685.5148885075187,706.497063223549,679.5157042584124,615.9646601969753,647.283166855289,641.5339120757952,796.5890934136468,666.0446167945618,801.8832062746798,817.039434929231,506.6165281703611,839.4832918047429,739.1716852690042,628.8624874993185,432.3349630063818,555.2967701710529,688.3447900954053,732.739418116644,634.689434052191,678.6424834695392,581.8698400467038,685.5267586835398,673.2942430647331,786.9896478248289,673.8779101202103,603.2951510919842,796.5983269720227,649.9842050174723,607.5375434867242,819.2068020092255,838.4727667828968,682.4958960341847,494.04517613370535,749.0107771393521,713.8638522872343,432.9576059641036,621.9190932749519,566.1214357848949,676.8745698158741
2002,614.0565739125013,617.2444608970418,729.6670421019197,710.9264400715963,727.1709964908698,595.6273243399096,613.6275642572798,730.6069723189901,784.5172016954448,652.0116373911151,613.6886405335554,800.3332145056625,915.4759963474199,648.5385557182582,763.4675943933909,765.4037544307965,774.9379037459348,567.6274469501576,549.0391486075434,650.8676748290853,734.4787599031758,785.1956901950953,695.8031864352561,607.4218808677784,713.9255539677146,587.1925985905608,664.1964671862545,619.639986252072,758.5593286094602,797.1569474955894,735.4662528535493,616.4199918732071,918.6648363710073,764.2615741926924,771.3795235691426,640.1420823409497,677.3353269273412,742.5456928793914,565.7325506589202,710.2799119082309,560.8862220447928,641.8819666463557
2003,674.1475102044642,648.6299883077924,661.3603977006044,722.2943783800351,622.2173834219366,566.8717637107675,657.7186118996066,781.8310842917225,698.2026380563801,677.3122528068427,684.3519419392873,760.8312333482146,816.4189709313739,598.3342928530542,868.297692872549,566.5305349279015,634.7984484021172,222.51888416685208,581.5349919287825,750.2720583173136,666.01460215726,692.5159707667577,711.0769855622143,620.6334218166679,620.7565430231618,560.2198032314285,677.3968763856584,687.42908776437,612.8761910775276,757.3258030495774,776.0406774858809,651.8034954224397,820.8607462825597,869.3056377045607,695.8595745822657,588.3135738368512,699.7597267931928,548.1896731382593,222.4514269951006,765.3471862806294,592.2092228398891,741.3768216771402
2004,772.6089428588748,670.8052438715123,724.5637013677235,669.3482026359455,663.8198261714923,576.4888548840245,572.6316638323653,742.0804500856718,687.4582405837912,690.3126434855722,681.6619938128076,698.5600972837055,851.9736172178327,719.3517525738866,800.925549506953,516.0266798974471,733.3531907998204,408.934007531881,664.9095372737111,737.5097666566528,731.4074143441801,682.3043280747869,658.5084136091598,654.9218547181357,650.4405325420832,568.7540312731421,695.9890522838823,688.7636014575263,712.6966631314219,697.6482941625077,747.1456016136459,566.6745239135561,859.2916476681382,800.6468565693397,698.4071490497857,715.6379732611703,626.0544997435127,495.6870586752656,407.5112592476941,728.4110438658212,674.9332896335515,727.7386469876628
2005,705.199129100889,608.1190456076608,655.7463541117254,740.144421497027,682.1148417108735,618.5907657519523,589.0115770501302,694.9535923984379,788.2196592018613,636.0656273108652,632.6465525354796,820.5599067488573,734.9548490749038,784.3531004408455,871.6327656594385,555.7325780606841,662.6061427461718,525.8652412710679,458.8153605102417,815.0626052020572,657.6723257178046,787.9765535758894,729.3343787475314,593.2240072468101,676.1234539070829,614.5338986507045,639.3344786046475,636.1973734530187,631.999064842328,818.4307317185346,699.7249138990343,590.582323970408,740.1311587816256,868.5323867197493,788.4824174445224,777.908363414568,637.5579743938964,538.6044073683056,522.4204580068252,771.1792486384754,465.812727366834,805.6090856405575
2006,692.754724483937,565.5374081432616,733.7531284630178,666.097917027794,731.6531293252906,613.1563655012498,604.2347417558459,709.4784750451272,672.6750601487005,765.2706531040025,660.1154525054744,770.6959411110419,735.719298960887,647.5863125627877,901.2005241354433,515.9010827952302,783.4682235111644,548.3950653099688,597.31529349878,769.211209770205,703.4922374745272,648.3515181666655,678.1854078759732,614.6073709263212,721.0109565547544,687.4615186797341,711.4124944188253,674.8695355822696,829.4384979807834,831.8843951041456,696.5543560719797,606.5337461162401,791.0682683568898,900.2342638736941,927.9641301784213,693.6638470111502,639.7837661421473,520.9677133704813,471.45287523158976,665.0844470420426,569.3765483912368,829.4958446169624
2007,604.9056975971907,592.9149798420813,709.2874612770087,716.482039477604,610.1175543031784,554.9989484745611,633.2688731368546,725.7205346537801,730.6621389574333,694.3033115753053,652.9790914880315,803.360306718423,802.8784559285966,714.8105915493951,894.6688460894086,463.0666056865689,657.9857658191183,564.4926998461078,544.5749248236446,670.6761945162227,751.9144427070208,595.7476631145148,666.4516899314897,609.4714628503601,714.8979070306591,678.9905136819094,686.4411211993746,694.5530216690087,874.968020735121,815.1561063276836,709.7642431310862,600.782806243456,886.986069003575,886.5624101610789,808.2503104599228,611.8111724723292,571.4729733520619,646.9785134476608,465.3191656768307,583.114157720989,609.7635753255747,825.1580286819819
2008,733.133955296129,616.2312528597139,709.3776827790686,708.7911781829657,630.5258705928692,653.6844196470579,639.5322660046501,827.609012689667,667.6190830789475,613.6583583103454,669.5560574572905,916.1526697757652,822.3234838274104,684.8996058477874,829.9806214611929,604.9881311287319,610.5034514946765,439.2821649133854,510.43484231583244,606.4311478085986,584.1171107879497,736.5566086193694,635.5589397567578,678.6040983727859,660.5734190803407,668.6613664682529,632.6936920340185,623.5543661164759,783.7977537589704,762.0788637251155,811.0313158255026,645.1948504046926,831.0009941782865,800.2978955855403,639.5455682859185,464.223029752773,612.8843870947951,534.2172113884681,367.2083115464721,739.0114688504983,577.5820097443715,799.5815788398903
2009,743.9519941657782,690.1375587794773,727.8797245059673,691.3331135310101,532.8108762720839,620.287459214119,611.8657877459572,739.4956835899811,724.987866667612,661.598272772793,640.2615978608692,766.533856906113,836.5876968286141,501.8384372293988,698.6064384404394,665.8606070386495,721.7992164687788,317.6069098431275,554.0599795909158,814.2591635247259,724.4557773904264,778.9373593827739,749.0716870965032,732.4458624762293,644.3444882200752,588.4602860142405,651.7678104576792,612.9385487376376,776.1723682456895,715.4895887091944,726.561334098892,634.7807916498954,807.4304947749727,774.9233976121593,847.0704992267503,650.5986856810047,679.5065997765876,466.4332991936781,528.1175619702996,750.4829061446463,573.8271037147072,776.7362580593758
2010,755.0594451278448,587.2888286467346,741.9600296867293,709.5127352354932,616.2477919202169,587.926417995662,584.1210818099069,759.964686715753,725.153690522534,663.496002770151,658.3619305205989,793.9268966342327,849.1499665713665,643.0371613446684,754.6248132705525,480.6312210739203,548.5096224333208,151.18526133512347,545.1255759620635,807.4321485258134,684.2225351445951,771.8368700835083,759.2332969094597,722.9193778326112,615.9386379762051,584.8264842805668,662.4323708352975,673.3547009861593,575.2028900550745,757.9402685517338,712.7596410521661,620.7851948325276,840.0199641037318,664.2843116072377,583.5528552416902,604.7305677788154,702.1080457179422,520.5419532184026,173.05025642935976,797.0277632785275,542.220292415615,763.9594231182859
2011,,703.5938816721438,762.1600517898185,617.7961942046423,681.6094192087579,570.9232454527037,567.6729014879625,775.2580699769287,684.6511640396686,636.9289275509175,630.0842904422312,580.0075035427319,751.5957661935747,409.7289600375119,833.0516546575157,478.44518407543745,669.058884894006,398.92387765685044,687.9073132389992,691.758033786002,747.5434044378921,701.9994162764216,739.0820328596685,595.0893459271649,677.5806093193354,612.0413453775628,734.8392943438363,705.1733321375701,667.4614688310327,749.4923397788746,738.094154034127,511.07515488498666,768.4643592573516,714.2697112286024,592.7412973176266,569.7475380298104,608.7554391769324,496.54003176601356,530.406594461419,741.2226221698354,600.0394158073009,802.4766201973391
2012,,631.9155743752312,779.1947708091714,742.798159520677,699.6384046368571,646.7344417173775,624.5748191792411,791.0456116938543,692.8959861326916,632.5573375953962,655.3232865328666,726.7518035804844,563.762555452376,541.2279987743307,863.0013238604741,385.2543104314558,626.3436285350837,399.34409683097084,547.2603140835201,721.8005219362484,716.7065165515348,697.7657589955023,690.9209236093675,545.0562284082791,691.1737649873114,642.319562443944,656.9180312511264,710.8243959595129,752.9012989176015,762.9423559721567,813.8692360217459,571.6302388756405,835.4439687190143,767.5241465776547,695.6492608953306,560.6583562417549,608.5706219472385,405.74840517917113,480.5842762952235,520.5511457676673,756.0160548700999,799.8093080598425
2013,,577.3677331749573,731.5666561492533,694.8063544181865,658.6193957824568,602.405314609195,660.256104816702,715.701234529459,740.68012145168,738.0868008022163,674.9492254326751,845.172839207589,682.322147508226,584.6776408802128,825.9281939019769,639.9037863457856,688.4979210530979,453.84856165090565,653.0982893382097,823.929850923518,759.6449936310831,699.5480044805623,634.3816689061792,628.2002251369977,666.038736008634,527.4902689162632,627.227083085947,670.1764209271972,767.5343290266659,573.4753496145418,728.096215896494,687.3437130757582,613.2791599354655,897.48094680675,655.2789852685521,470.11035282298457,574.5210275650281,478.8912712700585,276.3173148433657,600.239609729986,518.3106643569719,720.5166897235995
